Id,category,adress,postcode,city,borough,neighbourhood,suburb,town,village,hamlet,road,road_reference
13080,road,"Calle los Deportistas, 33939 Llangréu / Langreo, Spain",33939,,,,,Llangréu / Langreo,,La Teyera,Calle los Deportistas,
40576,building,"Camín del Rubín, 8, 33213 Gijón, Spain",33213,Gijón,Distrito Oeste,,El Cerilleru,,,,Camín del Rubín,
47052,road,"unnamed road, 33328 Colunga, Spain",33328,,,El Nuevu Carmen,,,Colunga,Lluces,unnamed road,
59607,building,"Plaza Olímpica, 2, 33012 Oviedo, Spain",33012,Oviedo,,,La Florida,,,,Plaza Olímpica,
59630,commerce,"Paco Martínez, Calle Gil de Jaz, 33004 Oviedo, Spain",33004,Oviedo,,,Llamaquique,,,,Calle Gil de Jaz,
59631,commerce,"Paco Martínez, Calle Gil de Jaz, 33004 Oviedo, Spain",33004,Oviedo,,,Llamaquique,,,,Calle Gil de Jaz,
59712,building,"Edificio de Manuel López García, Calle Independencia, 37I, 33004 Oviedo, Spain",33004,Oviedo,,,Llamaquique,,,,Calle Independencia,
59810,building,"Calle Lorenzo Abruñedo, 4, 33004 Oviedo, Spain",33004,Oviedo,,,Ciudad Naranco,,,,Calle Lorenzo Abruñedo,
59821,fictitious,Null Island,,,,,,,,,,
79277,road,"unnamed road, 33199 Siero, Spain",33199,Siero,,,,,,Fonciello,unnamed road,
80481,building,"Avenida de Salvador Allende, 20, 33211 Gijón, Spain",33211,Gijón,Distrito Sur,,Roces,,,,Avenida de Salvador Allende,
92220,building,"Avenida de El Llano, 38, 33209 Gijón, Spain",33209,Gijón,Distrito Llano,,,,,,Avenida de El Llano,
92591,road,"Carretera de Villabona a Serín, 33480 Gijón, Spain",33480,Gijón,,,,,,El Peridiellu,Carretera de Villabona a Serín,AS-325
94035,road,"Carrer Serra Bernia, 03530 la Nucia, Spain",03530,,,Urbanización Entrepinos,Coloma,la Nucia,,,Carrer Serra Bernia,
103092,building,"Pantiga, Cai Carreño Miranda / Calle Carreño Miranda, 11, 33400 Avilés, Spain",33400,,,El Parrocho,Sabugo,Avilés,,,Cai Carreño Miranda / Calle Carreño Miranda,
103159,road,"Cai La Cámara / Calle La Cámara, 33401 Avilés, Spain",33401,,,El Parrocho,Sabugo,Avilés,,,Cai La Cámara / Calle La Cámara,
105148,road,"N-632, Villaviciosa, Spain",,,,,,Villaviciosa,,El Pedrosu,N-632,N-632
105373,commerce,"Centro Cívico Comercial, Calle Carlos López Otín, 33005 Oviedo, Spain",33005,Oviedo,,,Llamaquique,,,,Calle Carlos López Otín,
105518,road,"Calle Simón González, 33213 Gijón, Spain",33213,Gijón,Distrito Oeste,,La Calzada,,,,Calle Simón González,
106212,road,"Calle del Rayo, 33010 Oviedo, Spain",33010,Oviedo,,,Vetusta,,,,Calle del Rayo,
107162,building,"Calle Caveda, 13, 33205 Gijón, Spain",33205,Gijón,Distrito Llano,,,,,,Calle Caveda,
107298,road,"unnamed road, 33660 Oviedo, Spain",33660,Oviedo,,,,,,La Mortera,unnamed road,
114379,road,"Travesía de las Eras, Santas Martas, Spain",,,,,,,Santas Martas,Villamarco,Travesía de las Eras,
117692,road,"CE-6, 33438 Carreño, Spain",33438,Carreño,,,,,,La Baragaña,CE-6,CE-6
119762,building,"Calle Cabrales, 63, 33205 Gijón, Spain",33205,Gijón,Distrito Centro,,Centro,,,,Calle Cabrales,
125474,road,"unnamed road, Villaviciosa, Spain",,,,,,Villaviciosa,,Arroes,unnamed road,
126069,road,"unnamed road, 33393 Gijón, Spain",33393,Gijón,,,,,,Sotiello,unnamed road,
126303,road,"unnamed road, 33157 Cudillero, Spain",33157,Cudillero,,,,,,Castañeras,unnamed road,
126308,road,"Carretera Llovio - Canero, 33157 Cudillero, Spain",33157,Cudillero,,,,,,Santa Marina,Carretera Llovio - Canero,N-632a
126310,road,"Carretera Llovio - Canero, 33157 Cudillero, Spain",33157,Cudillero,,,,,,Santa Marina,Carretera Llovio - Canero,N-632a
126314,road,"unnamed road, 33157 Cudillero, Spain",33157,Cudillero,,,,,,Castañeras,unnamed road,
126370,building,"Torruxón de Priendes, Carretera de L'Empalme a Avilés, 33491 Carreño, Spain",33491,Carreño,,,,,,El Polleo,Carretera de L'Empalme a Avilés,
154503,road,"Calle Socarrera, 33180 Noreña, Spain",33180,,,,,,Noreña,,Calle Socarrera,
170395,road,"Calle Victor Fernández Mayo, 33980 Laviana, Spain",33980,Laviana,,,,Pola de Laviana,,,Calle Victor Fernández Mayo,
180831,building,"Avenida Príncipe de Asturias, 6, 33212 Gijón, Spain",33212,Gijón,Distrito Oeste,,Santa Olaya,,,,Avenida Príncipe de Asturias,
187092,road,"Camín de Santolaya Valdornón, 33394 Gijón, Spain",33394,Gijón,Distrito Rural,,,,,Santolaya,Camín de Santolaya Valdornón,
209294,road,"unnamed road, 33527 Bimenes, Spain",33527,Bimenes,,,,,Bimenes,El Cuitu,unnamed road,
212377,road,"Plaza de La Bolera, Laviana, Spain",,Laviana,,El Xerrón,,,Laviana,Soto,Plaza de La Bolera,
214237,travel/tourism,"Hotel Rural Reciegos, Carretera Riaño - Puerto de Tarna, 33990 Caso, Spain",33990,Caso,,Reciegos,,,Caso,Veneros,Carretera Riaño - Puerto de Tarna,
217014,road,"Calle del Río, 33695 Lena, Spain",33695,,,,,Lena,,Viḷḷayana,Calle del Río,
217123,road,"Camino de la Estación, 33403 Avilés, Spain",33403,,,,El Pozón,Avilés,,,Camino de la Estación,
219652,commerce,"Confitería Biarritz, Avenida de Rufo Garcia Rendueles, 2, 33203 Gijón, Spain",33203,Gijón,Distrito Centro,,Centro,,,,Avenida de Rufo Garcia Rendueles,
220299,government,"Tenencia de Alcaldía de Morea, Avenida de la Constitución, 33, 33670 Aller, Spain",33670,Aller,,"La Casanueva, Morea",,Morea / Moreda,,Sotiellu,Avenida de la Constitución,
220381,building,"Avenida de Pablo Iglesias, 83, 33204 Gijón, Spain",33204,Gijón,Distrito Este,El Bibio,El Coto,,,,Avenida de Pablo Iglesias,
246794,road,"Calle San Nicolás, 33210 Gijón, Spain",33210,Gijón,Distrito Sur,,,,,,Calle San Nicolás,
252565,road,"unnamed road, 33988 Samartín del Rei Aurelio, Spain",33988,,,,,Samartín del Rei Aurelio,,La Robellá,unnamed road,
252568,road,"BI-4, 33527 Bimenes, Spain",33527,Bimenes,,,,,,La Llera,BI-4,BI-4
288463,road,"Calle de Mariano Menéndez Valdés, 33980 Laviana, Spain",33980,Laviana,,,,Pola de Laviana,,,Calle de Mariano Menéndez Valdés,
296268,road,"unnamed road, 33180 Noreña, Spain",33180,,,,,,Noreña,,unnamed road,
296270,road,"unnamed road, 33180 Noreña, Spain",33180,,,,,,Noreña,,unnamed road,
296272,road,"unnamed road, 33180 Noreña, Spain",33180,,,,,,Noreña,,unnamed road,
296280,outdoors/recreation,"Zona de juegos, Calle Los Vayones, 33180 Noreña, Spain",33180,,,,,,Noreña,,Calle Los Vayones,
296281,outdoors/recreation,"Zona de juegos, Calle Los Vayones, 33180 Noreña, Spain",33180,,,,,,Noreña,,Calle Los Vayones,
312809,road,"Calle Los Vayones, 33180 Noreña, Spain",33180,,,,,,Noreña,,Calle Los Vayones,
312811,road,"Calle Regino Escalera, 33180 Noreña, Spain",33180,,,,,,Noreña,,Calle Regino Escalera,
312821,road,"unnamed road, 33199 Siero, Spain",33199,Siero,,,,,,Fuentespino,unnamed road,
312828,road,"unnamed road, 33199 Siero, Spain",33199,Siero,,,,,,Fuentespino,unnamed road,
312836,road,"Calle Camino del Peregrino, 33180 Noreña, Spain",33180,,,,,,Noreña,,Calle Camino del Peregrino,
326265,road,"Calle Sor Juana Inés de la Cruz, 33211 Gijón, Spain",33211,Gijón,Distrito Sur,,Roces,,,,Calle Sor Juana Inés de la Cruz,
436909,road,"Camino del Alto de la Cruz, 33390 Gijón, Spain",33390,Gijón,,,,,,Llantones,Camino del Alto de la Cruz,
438120,building,"Calle San Luis, 1, 33202 Gijón, Spain",33202,Gijón,Distrito Centro,,Centro,,,,Calle San Luis,
439943,road,"Plaza Seis de Agosto, 33206 Gijón, Spain",33206,Gijón,Distrito Centro,,Centro,,,,Plaza Seis de Agosto,
452457,road,"Antigua N-634, 33750 El Franco, Spain",33750,El Franco,,,,,El Franco,Llóngara,Antigua N-634,N-634 FR
453324,road,"Carretera de Posada de Llanera a La Campana, 33690 Llanera, Spain",33690,Llanera,,,,,,Castiello (Lugo),Carretera de Posada de Llanera a La Campana,AS-374
454431,building,"El Cañal, unnamed road, 33194 Llanera, Spain",33194,Llanera,,,,,,,unnamed road,
454432,building,"El Cañal, unnamed road, 33194 Llanera, Spain",33194,Llanera,,,,,,,unnamed road,
454433,building,"El Cañal, unnamed road, 33194 Llanera, Spain",33194,Llanera,,,,,,,unnamed road,
454648,road,"Camín de La Pedrera, 33392 Gijón, Spain",33392,Gijón,,,,,,Arroyo (La Pedrera),Camín de La Pedrera,
460548,road,"Carretera de Romadonga y Salines, 33449 Gozón, Spain",33449,Gozón,,,,Luanco / Lluanco,,Condres,Carretera de Romadonga y Salines,
460836,building,"Carretera de la Carbonera, 17, 33210 Gijón, Spain",33210,Gijón,Distrito Llano,,,,,,Carretera de la Carbonera,
461091,road,"unnamed road, 33684 Aller, Spain",33684,Aller,,,,Morea / Moreda,,Caborana,unnamed road,
461131,road,"unnamed road, 33006 Oviedo, Spain",33006,Oviedo,,,El Monte Cerráu,,,,unnamed road,
467527,road,"unnamed road, 33186 Siero, Spain",33186,Siero,,,,,,Ñora,unnamed road,
467529,road,"unnamed road, 33186 Siero, Spain",33186,Siero,,,,,,Ñora,unnamed road,
467531,road,"unnamed road, 33186 Siero, Spain",33186,Siero,,,,,,Ñora,unnamed road,
